P1,P2,S1,S2,Challengers,Elites,Close,Fails
snaphap,Kaszabi,2,0,LuminaryCat,PnO_Mader,SR_유민,Aetos
Ballinbino,Kwazi,2,0,metalman20,DFeth,CarbonCarbon12,Lava
snaphap,Ballinbino,2,0,Ballinbino,snaphap,Kwazi,Kaszabi
Kwazi,Kaszabi,2,0,Theo,TreXDer,LunarMoron,Gamer97
Ballinbino,Kwazi,2,1,Edge,Mapy,sodapants,Joy
snaphap,Ballinbino,2,0,Loosiano,Aexus,Kosmos,Vodcat
PnO_Mader,Aetos,2,0,Farshan,smb,Farshan,Abysmalcosmos
LuminaryCat,SR_유민,2,1,GaviGuy,Programmatic,3Stans,Drogin_dunlane
PnO_Mader,LuminaryCat,2,0,1,1,1,1
SR_유민,Aetos,2,1,1,1,1,1
LuminaryCat,SR_유민,2,0,1,1,1,1
PnO_Mader,LuminaryCat,2,0,1,1,1,1
DFeth,Lava,2,0,1,1,1,1
CarbonCarbon12,metalman20,2,1,1,1,1,1
DFeth,CarbonCarbon12,2,0,1,1,1,1
metalman20,Lava,2,0,1,1,1,1
metalman20,CarbonCarbon12,2,0,1,1,1,1
DFeth,metalman20,2,0,1,1,1,1
TreXDer,Gamer97,2,0,1,1,1,1
Theo,LunarMoron,2,0,1,1,1,1
TreXDer,Theo,2,0,1,1,1,1
LunarMoron,Gamer97,2,0,1,1,1,1
Theo,LunarMoron,2,1,1,1,1,1
TreXDer,Theo,2,1,1,1,1,1
Mapy,Joy,2,0,1,1,1,1
Edge,sodapants,2,0,1,1,1,1
Mapy,Edge,2,0,1,1,1,1
sodapants,Joy,2,0,1,1,1,1
Edge,sodapants,2,0,1,1,1,1
Mapy,Edge,2,0,1,1,1,1
Aexus,Vodcat,2,0,1,1,1,1
Loosiano,Kosmos,2,1,1,1,1,1
Aexus,Loosiano,2,0,1,1,1,1
Kosmos,Vodcat,2,0,1,1,1,1
Loosiano,Kosmos,2,0,1,1,1,1
Aexus,Loosiano,2,0,1,1,1,1
smb,Farshan,2,0,1,1,1,1
jif,Abysmalcosmos,2,0,1,1,1,1
smb,jif,2,0,1,1,1,1
Farshan,Abysmalcosmos,2,0,1,1,1,1
jif,Farshan,2,0,1,1,1,1
smb,jif,2,1,1,1,1,1
Programmatic,Drogin_dunlane,2,0,1,1,1,1
GaviGuy,3Stans,2,0,1,1,1,1
GaviGuy,Programmatic,2,0,1,1,1,1
3Stans,Drogin_dunlane,2,0,1,1,1,1
Programmatic,3Stans,2,0,1,1,1,1
Programmatic,GaviGuy,2,0,1,1,1,1
Programmatic,GaviGuy,2,0,1,1,1,1
GaviGuy,Ballinbino,3,0,1,1,1,1
LuminaryCat,Edge,3,2,1,1,1,1
Theo,metalman20,3,0,1,1,1,1
Loosiano,jif,3,2,1,1,1,1
GaviGuy,LuminaryCat,4,0,1,1,1,1
Theo,Loosiano,4,2,1,1,1,1
GaviGuy,Theo,5,2,1,1,1,1
Edge,Ballinbino,3,0,1,1,1,1
jif,metalman20,3,2,1,1,1,1
Loosiano,Edge,3,2,1,1,1,1
jif,LuminaryCat,3,1,1,1,1,1
Loosiano,jif,4,1,1,1,1,1
Theo,Loosiano,4,0,1,1,1,1
Theo,GaviGuy,5,4,1,1,1,1
GaviGuy,Theo,5,4,1,1,1,1
snaphap,Programmatic,3,0,1,1,1,1
TreXDer,DFeth,3,0,1,1,1,1
Aexus,smb,3,2,1,1,1,1
snaphap,PnO_Mader,4,0,1,1,1,1
Aexus,TreXDer,4,3,1,1,1,1
snaphap,Aexus,5,2,1,1,1,1
GaviGuy,Programmatic,3,0,1,1,1,1
DFeth,smb,3,2,1,1,1,1
TreXDer,GaviGuy,3,0,1,1,1,1
DFeth,PnO_Mader,3,2,1,1,1,1
TreXDer,DFeth,4,1,1,1,1,1
TreXDer,Aexus,4,2,1,1,1,1
snaphap,TreXDer,5,2,1,1,1,1
