P1,P2,S1,S2,Challengers,Elites,Close,Fails
Theo,HalloweenBaby,2,0,Loosiano,Khromatical,Joy,HalloweenBaby
Loosiano,Joy,2,0,3Stans,Theo,metalman20,Hongto
Theo,Loosiano,2,1,Farshan,DFeth,SR_유민,Primis Rulz
Joy,HalloweenBaby,2,0,Negative,Ricki,Minnie,Fulmi
Loosiano,Joy,2,1,jif,snaphap,Kwazi,Velvet
Theo,Loosiano,2,0,Ballinbino,GaviGuy,Edge,Axol
DFeth,Hongto,2,0,AllPoland,Aexus,1,eyelur
3Stans,metalman20,2,0,LunarMoron,LuminaryCat,1,SkaryBoi
metalman20,Hongto,2,0,AbysmalCosmos,TreXDer,1,1
DFeth,3Stans,2,0,1,1,1,1
3Stans,metalman20,2,1,1,1,1,1
DFeth,3Stans,2,0,1,1,1,1
Ricki,Primis Rulz,2,0,1,1,1,1
Farshan,SR_유민,2,0,1,1,1,1
SR_유민,Primis Rulz,2,0,1,1,1,1
Ricki,Farshan,2,0,1,1,1,1
Farshan,SR_유민,2,0,1,1,1,1
Ricki,Farshan,2,0,1,1,1,1
snaphap,Fulmi,2,0,1,1,1,1
Negative,Minnie,2,0,1,1,1,1
Minnie,Fulmi,2,0,1,1,1,1
snaphap,Negative,2,0,1,1,1,1
Negative,Minnie,2,0,1,1,1,1
snaphap,Negative,2,0,1,1,1,1
GaviGuy,Velvet,2,0,1,1,1,1
Khromatical,Kwazi,2,1,1,1,1,1
GaviGuy,Khromatical,2,0,1,1,1,1
Kwazi,Velvet,2,0,1,1,1,1
Khromatical,Kwazi,2,0,1,1,1,1
GaviGuy,Khromatical,2,0,1,1,1,1
Aexus,Axol,2,0,1,1,1,1
jif,Abysmalcosmos,2,0,1,1,1,1
Abysmalcosmos,Axol,2,1,1,1,1,1
Aexus,jif,2,0,1,1,1,1
jif,Abysmalcosmos,2,1,1,1,1,1
LuminaryCat,eyelur,2,0,1,1,1,1
Ballinbino,LunarMoron,2,1,1,1,1,1
LunarMoron,eyelur,2,0,1,1,1,1
LuminaryCat,Ballinbino,2,0,1,1,1,1
Ballinbino,LunarMoron,2,1,1,1,1,1
Ballinbino,LuminaryCat,2,1,1,1,1,1
LuminaryCat,Ballinbino,2,1,1,1,1,1
TreXDer,SkaryBoi,2,0,1,1,1,1
AllPoland,Edge,2,0,1,1,1,1
TreXDer,AllPoland,2,1,1,1,1,1
Edge,SkaryBoi,2,0,1,1,1,1
AllPoland,Edge,2,1,1,1,1,1
AllPoland,TreXDer,2,0,1,1,1,1
TreXDer,AllPoland,2,0,1,1,1,1
Loosiano,Negative,3,1,1,1,1,1
Abysmalcosmos,Farshan,3,2,1,1,1,1
LunarMoron,AllPoland,3,1,1,1,1,1
Khromatical,jif,3,1,1,1,1,1
Loosiano,Abysmalcosmos,4,1,1,1,1,1
Khromatical,LunarMoron,4,3,1,1,1,1
Loosiano,Khromatical,5,4,1,1,1,1
Negative,Farshan,3,1,1,1,1,1
jif,AllPoland,3,0,1,1,1,1
LunarMoron,Negative,3,0,1,1,1,1
jif,Abysmalcosmos,3,0,1,1,1,1
jif,LunarMoron,4,1,1,1,1,1
Khromatical,jif,4,1,1,1,1,1
Khromatical,Loosiano,5,4,1,1,1,1
Khromatical,Loosiano,5,1,1,1,1,1
snaphap,Theo,3,0,1,1,1,1
DFeth,Ricki,3,1,1,1,1,1
TreXDer,LuminaryCat,3,1,1,1,1,1
Aexus,GaviGuy,3,1,1,1,1,1
snaphap,DFeth,4,0,1,1,1,1
TreXDer,Aexus,4,2,1,1,1,1
snaphap,TreXDer,5,3,1,1,1,1
Khromatical,LuminaryCat,3,2,1,1,1,1
Ricki,Theo,3,1,1,1,1,1
GaviGuy,Khromatical,3,1,1,1,1,1
Aexus,Ricki,3,0,1,1,1,1
GaviGuy,DFeth,3,2,1,1,1,1
Aexus,GaviGuy,4,2,1,1,1,1
Aexus,TreXDer,4,0,1,1,1,1
snaphap,Aexus,5,1,1,1,1,1
