P1,P2,S1,S2,Fails,Close,Playoffs
Mapy,Xandy,2,0,Xandy,metalman20,Mapy
metalman20,Loosiano,2,0,Loosiano,Banda,NickAzn
Mapy,metalman20,2,0,aznchibikid,PnO_Mader,Programmatic
Banda,Konomi,2,0,Konomi,TANDOKU,TreXDer
NickAzn,Banda,2,0,TobyAkka4,Pick,ExHilEr8
Programmatic,TobyAkka4,2,0,jane.,Ricki,kaddalaug
PnO_Mader,jane.,2,1,Abysmalcosmos,Krauvando,Matt
Programmatic,PnO_Mader,2,0,wolf,LtChaos720,smb
TreXDer,Abysmalcosmos,2,0,Blueye,1,1
TANDOKU,wolf,2,0,swagdude,1,1
TreXDer,TANDOKU,2,0,Franco,1,1
Pick,Blueye,2,0,Edge,1,1
ExHilEr8,swagdude,2,0,Halflite,1,1
ExHilEr8,Pick,2,0,Stride,1,1
Ricki,Franco,2,0,g4,1,1
kaddalaug,Edge,2,0,Baby_Jimbo,1,1
kaddalaug,Ricki,2,1,1,1,1
Matt,Halflite,2,0,1,1,1
Krauvando,Stride,2,1,1,1,1
Matt,Krauvando,2,0,1,1,1
LtChaos720,g4,2,1,1,1,1
smb,Baby_Jimbo,2,0,1,1,1
smb,LtChaos720,2,0,1,1,1
Mapy,smb,3,0,1,1,1
TreXDer,ExHilEr8,3,1,1,1,1
NickAzn,Matt,3,1,1,1,1
Programmatic,Ricki,3,2,1,1,1
Mapy,TreXDer,4,0,1,1,1
Programmatic,NickAzn,4,1,1,1,1
Mapy,Programmatic,5,4,1,1,1
smb,ExHilEr8,2,0,1,1,1
Ricki,Matt,2,1,1,1,1
NickAzn,smb,2,0,1,1,1
TreXDer,Ricki,2,1,1,1,1
TreXDer,NickAzn,3,2,1,1,1
TreXDer,Programmatic,4,0,1,1,1
Mapy,TreXDer,5,0,1,1,1
